date,description,amount_out,amount_in,running_balance
09/10/2018,A B Ltd Dublin,£5.00,,"£3,316.43"
17/10/2018,A B Ltd Dublin,£8.00,,"£3,768.48"
18/10/2018,A B Ltd Dublin,£5.00,,"£3,717.01"
18/10/2018,A B Ltd Dublin,£5.00,,"£3,712.01"
23/10/2018,A B Ltd Dublin,£5.00,,"£3,694.33"
09/11/2018,A B Ltd Dublin,£5.00,,"£7,155.11"
17/11/2018,A B Ltd Dublin,£8.00,,"£7,446.16"
26/11/2018,A B Ltd Dublin,£5.00,,"£8,842.76"
26/11/2018,A B Ltd Dublin,£5.00,,"£8,829.97"
09/12/2018,A B Ltd Dublin,£5.00,,"£28,468.37"
23/12/2018,A B Ltd Dublin,£5.00,,"£29,092.85"
26/12/2018,A B Ltd Dublin,£5.00,,"£29,140.16"
02/10/2018,Asda superstore,£53.33,,"£4,096.98"
02/10/2018,Asda superstore,£67.92,,"£4,167.30"
17/10/2018,Asda superstore,£48.00,,"£3,796.48"
25/10/2018,Asda superstore,£28.23,,"£3,827.10"
02/11/2018,Asda superstore,£33.56,,"£5,245.86"
02/11/2018,Asda superstore,£53.33,,"£5,175.54"
17/11/2018,Asda superstore,£48.00,,"£7,474.16"
25/11/2018,Asda superstore,£28.23,,"£8,772.71"
25/11/2018,Asda superstore,£28.23,,"£8,868.62"
02/12/2018,Asda superstore,£53.33,,"£28,613.81"
02/12/2018,Asda superstore,£67.92,,"£28,684.13"
17/12/2018,Asda superstore,£48.00,,"£28,628.51"
09/10/2018,Ben Stevens Kilburn,£3.00,,"£3,294.43"
14/10/2018,Ben Stevens Kilburn,£8.09,,"£3,380.07"
09/11/2018,Ben Stevens Kilburn,£3.00,,"£7,133.11"
14/11/2018,Ben Stevens Kilburn,£8.09,,"£7,228.41"
09/12/2018,Ben Stevens Kilburn,£3.00,,"£28,446.37"
14/12/2018,Ben Stevens Kilburn,£8.09,,"£28,698.41"
17/10/2018,BP petrol station,£20.00,,"£3,776.48"
17/11/2018,BP petrol station,£20.00,,"£7,454.16"
17/12/2018,BP petrol station,£20.00,,"£28,608.51"
29/09/2018,British Gas Trading Britishgas.co,£20.00,,"£3,737.83"
29/09/2018,British Gas Trading Britishgas.co,£20.00,,"£3,704.54"
02/10/2018,British Gas Trading Britishgas.co,£19.00,,"£4,077.98"
