date,description,amount_out,amount_in
27/09/2018,Cash Bnkm Cooperative,£40.00,
28/09/2018,Tombola.co.uk betting betting,£10.00,
28/09/2018,McDonalds Kilburn,£8.48,
28/09/2018,Work and child tax credit,,£165.65
29/09/2018,Mastercard,£11.10,
29/09/2018,Lloyds Pharmacy,£2.19,
29/09/2018,British Gas Trading Britishgas.co,£20.00,
29/09/2018,Just Eat London,£15.80,
29/09/2018,Transfer in: money for children,,£250.00
01/10/2018,DWP AA123456A UC,£500,
01/10/2018,DWP AA123456A T/P,100,
01/10/2018,DWP AA123456A xx33,550,
01/10/2018,DWP AA123456A WMA,700,
01/10/2018,Mike Test,400,
01/10/2018,Mike Test,600,
01/10/2018,DWP AA123456A UC,,£999.99
01/10/2018,DWP AA123456A T/P,,"£1,000.00"
01/10/2018,DWP AA123456A xx33,,"£2,800.00"
01//10/2018,DWP AA123456A WMA,,"£2,900.00"
01/10/2018,Mike Test,,"£3,300.00"
01/10/2018,Mike Test,,"£2,500.00"
01/10/2018,Mike Test,,£600.00
01/10/2018,NPE2-test2,,"£2,100.00"
01/10/2018,Mike Test,,£500.00
01/10/2018,Mike Test,,£400.00
01/10/2018,Mike Test,,£300.00
01/10/2018,Mike Test,,£92.00
01/10/2018,Mike Test,,£200.00
01/10/2018,NPE8-test2,,£208.00
01/10/2018,Mike Test,,£250.00
01/10/2018,Mike Test,,£180.00
01/10/2018,NPE2-test3,,"£1,278.01"
01/10/2018,NPE6-test2,,"£1,415.00"
01/10/2018,Mike Test,,£700.00
01/10/2018,Cash RB Scot Oct01 Tesco Killburn,£40.00,
02/10/2018,NPE8-test2,,£150.00
02/10/2018,Mike Test,,"£1,000.00"
02/10/2018,Mike Test,,£600.00
02/10/2018,Mike Test,,£500.00
02/10/2018,Mike Test,,£92.00
02/10/2018,Creation.co.uk loan repayment,£54.80,
02/10/2018,DVLA-REGNUM,£19.25,
02/10/2018,H3G,£34.88,
02/10/2018,Care Home Ltd Salary,,£108.24
02/10/2018,Asda superstore,£67.92,
02/10/2018,Tombola.co.uk betting,£10.00,
02/10/2018,Garden Centre,£6.99,
02/10/2018,Asda superstore,£53.33,
02/10/2018,British Gas Trading Britishgas.co,£19.00,
03/10/2018,Sky digital,£56.79,
03/10/2018,Sky digital reversal of 03-10,,£56.79
05/10/2018,Work and child tax credit,,£165.55
07/10/2018,Cash Natwest 06Oct,£20.00,
07/10/2018,Cash Notemachine ,£30.00,
09/10/2018,Care Home Ltd Salary,,£116.40
09/10/2018,Cash in HSBC 09Oct,,£60.00
09/10/2018,Jess Jones Rent 0735454,"£1,048.50",
09/10/2018,A B Ltd Dublin,£5.00,
09/10/2018,British Gas Trading Britishgas.co,£19.00,
09/10/2018,Ben Stevens Kilburn,£3.00,
09/10/2018,Queens park,£11.11,
09/10/2018,McDonalds Kilburn,£15.11,
11/10/2018,Sky digital,£56.79,
11/10/2018,Sky digital reversal of 11-10,,£56.79
12/10/2018,Work and child tax credit,,£165.65
13/10/2018,Hastings direct,£49.73,
