date,description,amount_out,amount_in
21/04/2020,DWP AA123456A CHB,,590.36
19/04/2020,Maggie May,,300.00
15/04/2020,Octavia Housing,1500.00,
12/04/2020,Maggie May,,300.00
12/04/2020,John Doe Snr,,1250.00
10/04/2020,Co-op mini market,29.33,
07/04/2020,O2 ,18.77,
05/04/2020,Maggie May,,300.00
04/04/2020,LBHF Council Tax,142.33,
01/04/2020,Tiny tots childcare,255.37,
29/03/2020,Maggie May,,300.00
28/03/2020,Mini-mart,12.22,
25/03/2020,DWP AA123456A CHB,,590.36
22/03/2020,Maggie May,,300.00
20/03/2020,Sainsbury,36.89,
15/03/2020,Maggie May,,300.00
15/03/2020,Sainsbury,26.22,
15/3/2020,Octavia Housing,1500.00,
13/3/2020,John Doe Snr,,1250.00
08/03/2020,Maggie May,,300.00
01/03/2020,Maggie May,,300.00
1/3/2020,Tiny tots childcare,250.44,
15/2/2020,National Lottery,,6.00
26/02/2020,DWP AA123456A CHB,,590.36
26/02/2020,Co-op mini market,19.33,
25/02/2020,Maggie May,,300.00
15/02/2020,Co-op mini market,12.33,
31/1/2020,John Doe Snr,,1250.00
16/1/2020,Octavia Housing,1500.00,
12/02/2020,Sainsbury,25.66,
01/02/2020,Tiny tots childcare,253.33,
