name,submit_to_ccms,ccms_document_type,display_on_evidence_upload,mandatory
bank_transaction_report,TRUE,BSTMT,FALSE,FALSE
benefit_evidence,FALSE,,TRUE,TRUE
benefit_evidence_pdf,TRUE,ADMIN1,FALSE,FALSE
employment_evidence,FALSE,,TRUE,TRUE
employment_evidence_pdf,TRUE,ADMIN1,FALSE,FALSE
gateway_evidence,FALSE,,TRUE,FALSE
gateway_evidence_pdf,TRUE,STATE,FALSE,FALSE
means_report,TRUE,ADMIN1,FALSE,FALSE
merits_report,TRUE,ADMIN1,FALSE,FALSE
statement_of_case,FALSE,,FALSE,FALSE
statement_of_case_pdf,TRUE,ADMIN1,FALSE,FALSE
