apply_code,proceeding_type_code,scope_limitation_code,substantive_default,delegated_functions_default
PR0208,DA001,CV118,FALSE,FALSE
PR0208,DA001,AA019,FALSE,FALSE
PR0208,DA001,AA009,FALSE,FALSE
PR0208,DA001,CV079,FALSE,FALSE
PR0208,DA001,CV117,FALSE,TRUE
PR0208,DA001,CV128,FALSE,FALSE
PR0208,DA001,CV129,FALSE,FALSE
PR0208,DA001,FM054,FALSE,FALSE
PR0208,DA001,FM062,TRUE,FALSE
PR0217,DA002,CV118,FALSE,FALSE
PR0217,DA002,AA019,TRUE,FALSE
PR0217,DA002,AA009,FALSE,FALSE
PR0217,DA002,CV079,FALSE,FALSE
PR0217,DA002,CV117,FALSE,TRUE
PR0217,DA002,CV128,FALSE,FALSE
PR0217,DA002,CV129,FALSE,FALSE
PR0217,DA002,FM054,FALSE,FALSE
PR0217,DA002,CV027,FALSE,FALSE
PR0206,DA003,CV118,FALSE,FALSE
PR0206,DA003,AA019,TRUE,FALSE
PR0206,DA003,AA009,FALSE,FALSE
PR0206,DA003,CV079,FALSE,FALSE
PR0206,DA003,CV117,FALSE,TRUE
PR0206,DA003,CV128,FALSE,FALSE
PR0206,DA003,CV129,FALSE,FALSE
PR0206,DA003,FM054,FALSE,FALSE
PR0206,DA003,CV027,FALSE,FALSE
PR0206,DA003,FM062,FALSE,FALSE
PR0211,DA004,CV118,FALSE,FALSE
PR0211,DA004,AA019,TRUE,FALSE
PR0211,DA004,AA009,FALSE,FALSE
PR0211,DA004,CV079,FALSE,FALSE
PR0211,DA004,CV117,FALSE,TRUE
PR0211,DA004,CV128,FALSE,FALSE
PR0211,DA004,CV129,FALSE,FALSE
PR0211,DA004,FM054,FALSE,FALSE
PR0211,DA004,CV027,FALSE,FALSE
PR0214,DA005,CV118,FALSE,FALSE
PR0214,DA005,AA019,TRUE,FALSE
PR0214,DA005,AA009,FALSE,FALSE
PR0214,DA005,CV079,FALSE,FALSE
PR0214,DA005,CV117,FALSE,TRUE
PR0214,DA005,CV128,FALSE,FALSE
PR0214,DA005,CV129,FALSE,FALSE
PR0214,DA005,FM054,FALSE,FALSE
PR0214,DA005,CV027,FALSE,FALSE
PR0200,DA006,CV118,FALSE,FALSE
PR0200,DA006,AA019,TRUE,FALSE
PR0200,DA006,AA009,FALSE,FALSE
PR0200,DA006,CV079,FALSE,FALSE
PR0200,DA006,CV117,FALSE,TRUE
PR0200,DA006,CV128,FALSE,FALSE
PR0200,DA006,CV129,FALSE,FALSE
PR0200,DA006,FM054,FALSE,FALSE
PR0200,DA006,CV027,FALSE,FALSE
PR0203,DA007,CV118,FALSE,FALSE
PR0203,DA007,AA019,TRUE,FALSE
PR0203,DA007,AA009,FALSE,FALSE
PR0203,DA007,CV079,FALSE,FALSE
PR0203,DA007,CV117,FALSE,TRUE
PR0203,DA007,CV128,FALSE,FALSE
PR0203,DA007,CV129,FALSE,FALSE
PR0203,DA007,FM054,FALSE,FALSE
PR0203,DA007,CV027,FALSE,FALSE
PR0220,DA020,CV118,FALSE,FALSE
PR0220,DA020,AA019,FALSE,FALSE
PR0220,DA020,AA009,FALSE,FALSE
PR0220,DA020,CV079,FALSE,FALSE
PR0220,DA020,CV117,FALSE,TRUE
PR0220,DA020,CV128,FALSE,FALSE
PR0220,DA020,CV129,FALSE,FALSE
PR0220,DA020,AA028,FALSE,FALSE
PR0220,DA020,AA029,FALSE,FALSE
PR0220,DA020,AA030,TRUE,FALSE
PR0220,DA020,AA031,FALSE,FALSE
PR0220,DA020,AA032,FALSE,FALSE
PR0220,DA020,CV027,FALSE,FALSE
PH0001,SE003,CV117,FALSE,TRUE
PH0001,SE003,FM059,TRUE,FALSE
PH0002,SE004,CV117,FALSE,TRUE
PH0002,SE004,FM059,TRUE,FALSE
PH0003,SE013,CV117,FALSE,TRUE
PH0003,SE013,FM059,TRUE,FALSE
PH0004,SE014,CV117,FALSE,TRUE
PH0004,SE014,FM059,TRUE,FALSE
PR0209,DA001,CV118,FALSE,FALSE
PR0209,DA001,AA019,FALSE,FALSE
PR0209,DA001,AA009,FALSE,FALSE
PR0209,DA001,CV079,FALSE,FALSE
PR0209,DA001,CV117,FALSE,TRUE
PR0209,DA001,CV128,FALSE,FALSE
PR0209,DA001,CV129,FALSE,FALSE
PR0209,DA001,FM054,FALSE,FALSE
PR0209,DA001,FM062,TRUE,FALSE
PR0218,DA002,CV118,FALSE,FALSE
PR0218,DA002,AA019,TRUE,FALSE
PR0218,DA002,AA009,FALSE,FALSE
PR0218,DA002,CV079,FALSE,FALSE
PR0218,DA002,CV117,FALSE,TRUE
PR0218,DA002,CV128,FALSE,FALSE
PR0218,DA002,CV129,FALSE,FALSE
PR0218,DA002,FM054,FALSE,FALSE
PR0207,DA003,CV118,FALSE,FALSE
PR0207,DA003,AA019,TRUE,FALSE
PR0207,DA003,AA009,FALSE,FALSE
PR0207,DA003,CV079,FALSE,FALSE
PR0207,DA003,CV117,FALSE,TRUE
PR0207,DA003,CV128,FALSE,FALSE
PR0207,DA003,CV129,FALSE,FALSE
PR0207,DA003,FM054,FALSE,FALSE
PR0207,DA003,CV027,FALSE,FALSE
PR0207,DA003,FM062,FALSE,FALSE
PR0212,DA004,CV118,FALSE,FALSE
