code,meaning,description,substantive,delegated_functions
AA009,Warrant of arrest FLA,As to an order under Part IV Family Law Act 1996 limited to an application for the issue of a warrant of arrest.,TRUE,TRUE
AA019,Injunction FLA-to final hearing,"As to proceedings under Part IV Family Law Act 1996 limited to all steps up to and including obtaining and serving a final order and in the event of breach leading to the exercise of a power of arrest to representation on the consideration of the breach by the court (but excluding applying for a warrant of arrest, if not attached, and representation in contempt proceedings).",TRUE,FALSE
AA028,Interim Order (Emergency only) FGM,As to an application under the Female Genital Mutilation Act 2003 limited to all steps necessary to apply for an interim order where application is made without notice to include representation on the return date.,TRUE,TRUE
AA029,Hearing (Emergency only) FGM,As to application under the Female Genital Mutilation Act 2003 limited to all steps up to and including the hearing on [date],TRUE,TRUE
AA030,Injunction-FGM-to final hearing,"As to proceedings under the Female Genital Mutilation Act 2003 limited to all steps up to and including obtaining and service a final order and in the event of breach leading to the exercise of a power of arrest to representation on the consideration of the breach by the court (but excluding applying for a warrant of arrest, if not attached, and representation in contempt proceedings).",TRUE,FALSE
AA031,Vary/dscg/rvke FGM Protection Order,As to an order under Female Genital Mutilation Act 2003 limited to an application to extend/vary or discharge.,TRUE,TRUE
AA032,Overseas applicant-FGMPO,"Limited where the applicant is overseas, to their return to the jurisdiction and thereafter a solicitor's report.",TRUE,TRUE
CV027,Hearing/Adjournment,Limited to all steps (including any adjournment thereof) up to and including the hearing on [date],TRUE,TRUE
CV079,Counsel's Opinion,Limited to obtaining external Counsel's Opinion or the opinion of an external solicitor with higher court advocacy rights on the information already available.,TRUE,TRUE
CV117,Interim order inc. return date,Limited to all steps necessary to apply for an interim order; where application is made without notice to include representation on the return date.,TRUE,TRUE
CV118,Hearing,Limited to all steps up to and including the hearing on [see additional limitation notes],TRUE,TRUE
CV128,"Counsel's opinion-merits, quantum, and cost benefit","Limited to obtaining counsel's opinion or the opinion of an external solicitor with higher court advocacy rights particularly in regard to the merits, quantum, and cost benefit of the action.",TRUE,TRUE
CV129,Counsel's opinion-merits,Limited to obtaining counsel's opinion or the opinion of an external solicitor with higher court advocacy rights particularly in regard to the merits of the case.,TRUE,TRUE
FM054,Overseas applicant (forced marriage),"Limited where the applicant is overseas, to their return to the jurisdiction and thereafter a solicitor's report",TRUE,TRUE
FM062,Final hearing,Limited to all steps up to and including final hearing and any action necessary to implement (but not enforce) the order.,TRUE,FALSE
FM059,FHH Children,Limited to Family Help (Higher) and to all steps necessary to negotiate and conclude a settlement. To include the issue of proceedings and representation in those proceedings save in relation to or at a contested final hearing.,TRUE,FALSE
