proceeding_code,ccms_proceeding_code,ccms_category_of_law_code,ccms_category_of_law,ccms_matter_type_code,ccms_matter_type,Meaning/ Proceeding - CURRENT,proceeding_meaning,proceeding_description
PR0001,PBM23,MAT,Family,KPBLB,Public Law - Family ,App for a care order ,Application for a care order ,to be represented on an application for a care order.
PR0002,PBM23A,MAT,Family,KPBLB,Public Law - Family ,App for a care order - Appeal ,Application for a care order - Appeal ,to be represented on an application for a care order. Appeals only.
PR0003,PBM23E,MAT,Family,KPBLB,Public Law - Family ,App for a care order - Enforcement,Application for a care order - Enforcement,to be represented on an application for a care order. Enforcement only.
PR0004,PBM36,MAT,Family,KPBLB,Public Law - Family ,App for care order (joined party) ,Application for a care order (joined party) ,to be represented on an application for a care order
PR0005,PBM36A,MAT,Family,KPBLB,Public Law - Family ,App for care order (joined party) - Appeal,Application for a care order (joined party) - Appeal,to be represented on an application for a care order Appeals only.
PR0006,PBM36E,MAT,Family,KPBLB,Public Law - Family ,App for care order (joined party) - Enforcement ,Application for a care order (joined party) - Enforcement ,to be represented on an application for a care order Enforcement only.
PR0007,PBM24,MAT,Family,KPBLB,Public Law - Family ,App for a supervision order ,Application for a supervision order ,to be represented on an application for a supervision order.
PR0008,PBM24A,MAT,Family,KPBLB,Public Law - Family ,App for a supervision order - Appeal ,Application for a supervision order - Appeal ,to be represented on an application for a supervision order. Appeals only.
PR0009,PBM24E,MAT,Family,KPBLB,Public Law - Family ,App for a supervision order - Enforcement ,Application for a supervision order - Enforcement ,to be represented on an application for a supervision order. Enforcement only.
PR0010,PBM37,MAT,Family,KPBLB,Public Law - Family ,App for supervision order (joined party) ,Application for a supervision order (joined party) ,to be represented on an application for a supervision order
PR0011,PBM37A,MAT,Family,KPBLB,Public Law - Family ,App for supervision order (joined party) - Appeal ,Application for a supervision order (joined party) - Appeal ,to be represented on an application for a supervision order  Appeals only.
PR0012,PBM37E,MAT,Family,KPBLB,Public Law - Family ,App for supervision order (joined party) - Enforcement ,Application for a supervision order (joined party) - Enforcement ,to be represented on an application for a supervision order  Enforcement only.
PR0013,PBM02,MAT,Family,KPBLB,Public Law - Family ,Application for adoption (not FPC) ,Application for adoption ,to be represented on an application for an adoption order.
PR0014,PBM02A,MAT,Family,KPBLB,Public Law - Family ,Application for adoption - Appeal ,Application for adoption - Appeal ,to be represented on an application for an adoption order.  Appeals only.
PR0015,PBM02E,MAT,Family,KPBLB,Public Law - Family ,Application for adoption - Enforcement ,Application for adoption - Enforcement ,to be represented on an application for an adoption order.  Enforcement only.
PR0016,PBM05,MAT,Family,KPBLB,Public Law - Family ,App contact Child in care ,Application for contact with a child in care ,to be represented on an application for contact with a child in care.
PR0017,PBM05A,MAT,Family,KPBLB,Public Law - Family ,App contact Child in care - Appeal ,Application for contact with a child in care - Appeal ,to be represented on an application for contact with a child in care.  Appeals only.
PR0018,PBM05E,MAT,Family,KPBLB,Public Law - Family ,App contact Child in care - Enforcement ,Application for contact with a child in care - Enforcement ,to be represented on an application for contact with a child in care.  Enforcement only.
PR0019,PBM07,MAT,Family,KPBLB,Public Law - Family ,App discharge Care Order,Application to discharge a care order,to be represented on an application to discharge a care order.
PR0020,PBM07A,MAT,Family,KPBLB,Public Law - Family ,App discharge Care Order - Appeal ,Application to discharge a care order - Appeal ,to be represented on an application to discharge a care order.  Appeals only.
PR0021,PBM07E,MAT,Family,KPBLB,Public Law - Family ,App discharge Care Order - Enforcement ,Application to discharge a care order - Enforcement ,to be represented on an application to discharge a care order.  Enforcement only.
PR0022,PBM28,MAT,Family,KPBLB,Public Law - Family ,App discharge emergency protection ,Application to discharge emergency protection ,to be represented on an application to discharge an emergency protection order. (
PR0023,PBM28A,MAT,Family,KPBLB,Public Law - Family ,App discharge emergency protection - Appeal ,Application to discharge emergency protection - Appeal ,to be represented on an application to discharge an emergency protection order. ( Appeals only.
